date,rate
1990,11.108
1991,9.404
1992,8.8506
1993,6.7579
1994,5.3854
1995,7.1355
1996,4.8845
1997,2.504
1998,2.244
1999,1.252
2000,2.1155
2001,1.882
2002,4.50
2003,3.4859
2004,2.4862
2005,1.7431
2006,2.01
2007,3.254
2008,4.254
2009,1.2291
2010,0.50
2011,1.7569
2012,1.746
2013,1.00
2014,1.00
