"iso2c","year","membership","country","CentralBankAssetsGDP","DomesticCreditGDP","DepositBankAssetsGDP","BankAssetsGDP","LV2012.Fiscal","discount_rate","grouping","CentralBankAssetsGDP_lag1","BankAssetsGDP_lag1","DepositBankAssetsGDP_lag1","discount_rate_ma3","DomesticCredit_change","DomesticCredit_change_ma3","costs_deviation","CentralBankAssetsGDP_lag1_log","BankAssetsGDP_lag1_log","DepositBankAssetsGDP_lag1_log","DomesticCredit_change_ma3_log","discount_rate_log","discount_rate_ma3_log","LV2012.Fiscal_log","costs_deviation_log"
"RU",1998,NA,"Russian Federation",12.31441,44.9255019774871,21.2575,21.2575,0.1,NA,"Not Europe/JP/US",9.015409,19.43656,19.43656,NA,52.3521196115316,-1.47622888154319,0.0051449433438839,2.19893522445587,2.96715582864145,2.96715582864145,NA,NA,NA,-2.30258509299405,-5.26974092163549
"RU",2008,NA,"Russian Federation",1.014416,24.4163791766804,38.61234,38.61234,2.3,NA,"Not Europe/JP/US",0.9137053,34.77565,34.77565,NA,-4.12495817024939,0.808221011900409,0.0661382317799955,-0.0902471884033818,3.54891742922361,3.54891742922361,-0.212919728283723,NA,NA,0.832909122935104,-2.7160083062885
"SE",1991,"EU Non-SSM","Sweden",6.093791,126.709843530085,59.97224,102,3.6,NA,"Europe/JP/US",5.211615,111,63.0862,NA,-2.13948508904849,NA,0.0324324324324324,1.65088978853729,4.70953020131233,4.1445020451533,NA,NA,NA,1.28093384546206,-3.42859635585027
"SE",2008,"EU Non-SSM","Sweden",NA,127.317607544458,132.463,233,0.7,NA,"Europe/JP/US",NA,195,122.0572,NA,2.95028757242053,6.43865263731737,0.00358974358974359,NA,5.27299955856375,4.8044897873153,1.8623193004193,NA,NA,-0.356674943938732,-5.62967450250248
"SI",1992,"SSM","Slovenia",1.063066,NA,21.65859,21.65859,14.6,26,"Europe/JP/US",NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,3.25809653802148,2.63905732961526,2.68102152871429,NA
"SI",2008,"SSM","Slovenia",0.1852407,85.553285680897,86.95681,128,3.6,3,"Europe/JP/US",0.1979392,122,76.91628,1.75,6.35812887297634,13.4910312615398,0.0295081967213115,-1.61979536615054,4.80402104473326,4.34271755761663,2.60202511366842,1.09861228866811,0.559615787935423,1.28093384546206,-3.52308719927119
"TH",1997,NA,"Thailand",1.259599,177.576707109886,159.2639,157,43.8,12.5,"Not Europe/JP/US",0.6388769,120,142.9422,3.5,21.3278557967854,8.11262037782439,0.365,-0.448043487920421,4.78749174278205,4.96244035274657,2.09342092048091,2.52572864430826,1.25276296849537,3.7796338173824,-1.00785792539965
"TN",1991,NA,"Tunisia",0.6641874,60.8464684756584,58.51228,58.51228,3,11.88,"Not Europe/JP/US",0.5441827,60.29009,60.29009,8.88,-2.71505423542009,NA,0.0497594214903312,-0.608470242921465,4.09916774528507,4.09916774528507,NA,2.4748563139345,2.18380155700408,1.09861228866811,-3.00055545661696
"TR",2000,NA,"Turkey",0.7293505,37.9072626925168,32.58375,62.5,32,60,"Not Europe/JP/US",0.8657083,69,28.78645,49,3.12962878651936,4.8660863039367,0.463768115942029,-0.144207263189413,4.23410650459726,3.35990479031747,1.58228998031928,4.0943445622221,3.89182029811063,3.46573590279973,-0.768370601797533
"UA",1998,NA,"Ukraine",10.40108,24.5664853783126,9.669971,9.669971,0,NA,"Not Europe/JP/US",7.350721,8.811808,8.811808,NA,43.805800758684,-8.3120259418857,0,1.99479840365182,2.17609264023246,2.17609264023246,NA,NA,NA,-Inf,-Inf
"UA",2008,NA,"Ukraine",1.754749,94.9846619171337,63.56757,97,4.5,NA,"Not Europe/JP/US",1.325645,83,46.50356,NA,55.5776839281272,25.3580788649027,0.0542168674698795,0.281899133446007,4.4188406077966,3.83952886880259,3.23309737216097,NA,NA,1.50407739677627,-2.91476321102032
"US",2007,"Non-Europe","United States",5.469361,235.718231065771,64.92107,64.92107,4.5,4.75,"Europe/JP/US",5.791151,62.36176,62.36176,0.625,4.15166561056676,3.09662256809036,0.0721596055018332,1.75633106284759,4.13295226701132,4.13295226701132,1.13031202339651,1.55814461804655,-0.470003629245736,1.50407739677627,-2.62887487023505
"UY",2002,NA,"Uruguay",22.56449,98.9264127992207,71.79266,71.79266,20,316.01,"Not Europe/JP/US",13.21693,56.14421,56.14421,10,54.2014430318516,12.4875993364722,0.356225512835607,2.58149858355222,4.02792355921574,4.02792355921574,2.52473609881568,5.75577385865582,2.30258509299405,2.99573227355399,-1.03219128566175
"VE",1994,NA,"Venezuela, RB",NA,35.7783818655725,NA,NA,15,48,"Not Europe/JP/US",NA,NA,NA,45,10.7359529317822,-5.55560319368279,NA,NA,NA,NA,NA,3.87120101090789,3.80666248977032,2.70805020110221,NA
"VN",1997,NA,"Vietnam",2.626235,21.2420476967564,18.88364,18.9,10,NA,"Not Europe/JP/US",2.341742,18.4,18.43375,NA,5.57333231388302,NA,0.543478260869565,0.850895096852735,2.91235066461494,2.91418322358301,NA,NA,NA,2.30258509299405,-0.609765571620894
"ZM",1995,NA,"Zambia",51.11506,58.3988037219471,11.46155,11.46155,1.4,40.2,"Not Europe/JP/US",40.44292,9.513789,9.513789,NA,21.1716612524138,NA,0.147154829689832,3.69989159728246,2.25274221992098,2.25274221992098,NA,3.69386699562498,NA,0.336472236621213,-1.91626998329977
