DATE,IUAABEDR
31 Dec 1990,14.6418
31 Dec 1991,11.5588
31 Dec 1992,9.4242
31 Dec 1993,5.8849
31 Dec 1994,5.3363
31 Dec 1995,6.5704
31 Dec 1996,5.8834
31 Dec 1997,6.5482
31 Dec 1998,7.2332
31 Dec 1999,5.3403
31 Dec 2000,5.9663
31 Dec 2001,5.1235
31 Dec 2002,4
31 Dec 2003,3.6917
31 Dec 2004,4.3858
31 Dec 2005,4.6468
31 Dec 2006,4.6379
31 Dec 2007,5.5128
31 Dec 2008,4.6821
31 Dec 2009,0.6423
31 Dec 2010,0.5
31 Dec 2011,0.5
31 Dec 2012,0.5
31 Dec 2013,0.5
31 Dec 2014,0.5
